(venv) root@54abc98375bd:/moheft/experiment/01_get_tasks_execution_time# ./E01_1_execute_workflow.sh 
Execution: 1
<< Matrix Multiplication >>
Local MatMul Computation done in 0.005460s
[WORKER][PID=1763] 3 x 2 x 0
[WORKER][PID=1763] 4 x 3 x 1
[WORKER][PID=1763] 2 x 2 x 1
[WORKER][PID=1763] 2 x 3 x 1
[WORKER][PID=1763] 2 x 4 x 1
[WORKER][PID=1763] 3 x 0 x 1
[WORKER][PID=1763] 3 x 1 x 1
[WORKER][PID=1763] 3 x 2 x 1
[WORKER][PID=1763] 4 x 3 x 2
[WORKER][PID=1763] 2 x 2 x 2
[WORKER][PID=1763] 2 x 3 x 2
[WORKER][PID=1763] 2 x 4 x 2
[WORKER][PID=1763] 3 x 0 x 2
[WORKER][PID=1763] 3 x 1 x 2
[WORKER][PID=1763] 3 x 2 x 2
[WORKER][PID=1763] 4 x 3 x 3
[WORKER][PID=1763] 2 x 2 x 3
[WORKER][PID=1763] 2 x 3 x 3
[WORKER][PID=1763] 2 x 4 x 3
[WORKER][PID=1763] 3 x 0 x 3
[WORKER][PID=1763] 3 x 1 x 3
[WORKER][PID=1763] 3 x 2 x 3
[WORKER][PID=1763] 4 x 3 x 4
[WORKER][PID=1763] 2 x 2 x 4
[WORKER][PID=1763] 2 x 3 x 4
[WORKER][PID=1763] 2 x 4 x 4
[WORKER][PID=1763] 3 x 0 x 4
[WORKER][PID=1763] 3 x 1 x 4
[WORKER][PID=1763] 3 x 2 x 4
[WORKER][PID=1763] 4 x 1 x 0
[WORKER][PID=1763] 3 x 3 x 0
[WORKER][PID=1763] 3 x 4 x 0
[WORKER][PID=1763] 4 x 0 x 0
[WORKER][PID=1763] 4 x 1 x 1
[WORKER][PID=1763] 3 x 3 x 1
[WORKER][PID=1763] 3 x 4 x 1
[WORKER][PID=1763] 4 x 0 x 1
[WORKER][PID=1763] 4 x 1 x 2
[WORKER][PID=1763] 3 x 3 x 2
[WORKER][PID=1763] 3 x 4 x 2
[WORKER][PID=1763] 4 x 0 x 2
[WORKER][PID=1763] 4 x 1 x 3
[WORKER][PID=1763] 3 x 3 x 3
[WORKER][PID=1763] 3 x 4 x 3
[WORKER][PID=1763] 4 x 0 x 3
[WORKER][PID=1763] 4 x 1 x 4
[WORKER][PID=1763] 3 x 3 x 4
[WORKER][PID=1763] 3 x 4 x 4
[WORKER][PID=1763] 4 x 0 x 4
Offloaded BlockMatMul Computation done in 13.522153s
Non-Matching Block Outputs: 0
Execution: 6
<< Matrix Multiplication >>
Local MatMul Computation done in 0.001431s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1797] 0 x 1 x 0
[WORKER][PID=1797] 0 x 0 x 0
[WORKER][PID=1797] 0 x 3 x 0
[WORKER][PID=1797] 0 x 2 x 0
[WORKER][PID=1797] 1 x 0 x 0
[WORKER][PID=1797] 0 x 4 x 0
[WORKER][PID=1797] 4 x 4 x 0
[WORKER][PID=1797] 0 x 1 x 1
[WORKER][PID=1797] 0 x 0 x 1
[WORKER][PID=1797] 0 x 3 x 1
[WORKER][PID=1797] 0 x 2 x 1
[WORKER][PID=1797] 1 x 0 x 1
[WORKER][PID=1797] 0 x 4 x 1
[WORKER][PID=1797] 4 x 4 x 1
[WORKER][PID=1797] 0 x 1 x 2
[WORKER][PID=1797] 0 x 0 x 2
[WORKER][PID=1797] 0 x 3 x 2
[WORKER][PID=1797] 0 x 2 x 2
[WORKER][PID=1797] 1 x 0 x 2
[WORKER][PID=1797] 0 x 4 x 2
[WORKER][PID=1797] 4 x 4 x 2
[WORKER][PID=1797] 0 x 1 x 3
[WORKER][PID=1797] 0 x 0 x 3
[WORKER][PID=1797] 0 x 3 x 3
[WORKER][PID=1797] 0 x 2 x 3
[WORKER][PID=1797] 1 x 0 x 3
[WORKER][PID=1797] 0 x 4 x 3
[WORKER][PID=1797] 4 x 4 x 3
[WORKER][PID=1797] 0 x 1 x 4
[WORKER][PID=1797] 0 x 0 x 4
[WORKER][PID=1797] 0 x 3 x 4
[WORKER][PID=1797] 0 x 2 x 4
[WORKER][PID=1797] 1 x 0 x 4
[WORKER][PID=1797] 0 x 4 x 4
[WORKER][PID=1797] 4 x 4 x 4
[WORKER][PID=1797] 1 x 1 x 0
[WORKER][PID=1797] 1 x 2 x 0
[WORKER][PID=1797] 1 x 3 x 0
[WORKER][PID=1797] 1 x 4 x 0
[WORKER][PID=1797] 2 x 0 x 0
[WORKER][PID=1797] 2 x 1 x 0
[WORKER][PID=1797] 4 x 3 x 0
[WORKER][PID=1797] 1 x 1 x 1
[WORKER][PID=1797] 1 x 2 x 1
[WORKER][PID=1797] 1 x 3 x 1
[WORKER][PID=1797] 1 x 4 x 1
[WORKER][PID=1797] 2 x 0 x 1
[WORKER][PID=1797] 2 x 1 x 1
[WORKER][PID=1797] 4 x 3 x 1
[WORKER][PID=1797] 1 x 1 x 2
[WORKER][PID=1797] 1 x 2 x 2
[WORKER][PID=1797] 1 x 3 x 2
[WORKER][PID=1797] 1 x 4 x 2
[WORKER][PID=1797] 2 x 0 x 2
[WORKER][PID=1797] 2 x 1 x 2
[WORKER][PID=1797] 4 x 3 x 2
[WORKER][PID=1797] 1 x 1 x 3
[WORKER][PID=1797] 1 x 2 x 3
[WORKER][PID=1797] 1 x 3 x 3
[WORKER][PID=1797] 1 x 4 x 3
[WORKER][PID=1797] 2 x 0 x 3
[WORKER][PID=1797] 2 x 1 x 3
[WORKER][PID=1797] 4 x 3 x 3
[WORKER][PID=1797] 1 x 1 x 4
[WORKER][PID=1797] 1 x 2 x 4
[WORKER][PID=1797] 1 x 3 x 4
[WORKER][PID=1797] 1 x 4 x 4
[WORKER][PID=1797] 2 x 0 x 4
[WORKER][PID=1797] 2 x 1 x 4
[WORKER][PID=1797] 4 x 3 x 4
[WORKER][PID=1797] 2 x 2 x 0
[WORKER][PID=1797] 2 x 3 x 0
[WORKER][PID=1797] 2 x 4 x 0
[WORKER][PID=1797] 3 x 0 x 0
[WORKER][PID=1797] 3 x 1 x 0
[WORKER][PID=1797] 3 x 2 x 0
[WORKER][PID=1797] 4 x 2 x 0
[WORKER][PID=1797] 2 x 2 x 1
[WORKER][PID=1797] 2 x 3 x 1
[WORKER][PID=1797] 2 x 4 x 1
[WORKER][PID=1797] 3 x 0 x 1
[WORKER][PID=1797] 3 x 1 x 1
[WORKER][PID=1797] 3 x 2 x 1
[WORKER][PID=1797] 4 x 2 x 1
[WORKER][PID=1797] 2 x 2 x 2
[WORKER][PID=1797] 2 x 3 x 2
[WORKER][PID=1797] 2 x 4 x 2
[WORKER][PID=1797] 3 x 0 x 2
[WORKER][PID=1797] 3 x 1 x 2
[WORKER][PID=1797] 3 x 2 x 2
[WORKER][PID=1797] 4 x 2 x 2
[WORKER][PID=1797] 2 x 2 x 3
[WORKER][PID=1797] 2 x 3 x 3
[WORKER][PID=1797] 2 x 4 x 3
[WORKER][PID=1797] 3 x 0 x 3
[WORKER][PID=1797] 3 x 1 x 3
[WORKER][PID=1797] 3 x 2 x 3
[WORKER][PID=1797] 4 x 2 x 3
[WORKER][PID=1797] 2 x 2 x 4
[WORKER][PID=1797] 2 x 3 x 4
[WORKER][PID=1797] 2 x 4 x 4
[WORKER][PID=1797] 3 x 0 x 4
[WORKER][PID=1797] 3 x 1 x 4
[WORKER][PID=1797] 3 x 2 x 4
[WORKER][PID=1797] 4 x 2 x 4
[WORKER][PID=1797] 3 x 3 x 0
[WORKER][PID=1797] 3 x 4 x 0
[WORKER][PID=1797] 4 x 0 x 0
[WORKER][PID=1797] 4 x 1 x 0
[WORKER][PID=1797] 3 x 3 x 1
[WORKER][PID=1797] 3 x 4 x 1
[WORKER][PID=1797] 4 x 0 x 1
[WORKER][PID=1797] 4 x 1 x 1
[WORKER][PID=1797] 3 x 3 x 2
[WORKER][PID=1797] 3 x 4 x 2
[WORKER][PID=1797] 4 x 0 x 2
[WORKER][PID=1797] 4 x 1 x 2
[WORKER][PID=1797] 3 x 3 x 3
[WORKER][PID=1797] 3 x 4 x 3
[WORKER][PID=1797] 4 x 0 x 3
[WORKER][PID=1797] 4 x 1 x 3
[WORKER][PID=1797] 3 x 3 x 4
[WORKER][PID=1797] 3 x 4 x 4
[WORKER][PID=1797] 4 x 0 x 4
[WORKER][PID=1797] 4 x 1 x 4
Offloaded BlockMatMul Computation done in 12.161202s
Non-Matching Block Outputs: 0
Execution: 7
<< Matrix Multiplication >>
Local MatMul Computation done in 0.016625s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1831] 0 x 2 x 0
[WORKER][PID=1831] 0 x 0 x 0
[WORKER][PID=1831] 0 x 4 x 0
[WORKER][PID=1831] 0 x 3 x 0
[WORKER][PID=1831] 0 x 1 x 0
[WORKER][PID=1831] 1 x 0 x 0
[WORKER][PID=1831] 1 x 1 x 0
[WORKER][PID=1831] 0 x 2 x 1
[WORKER][PID=1831] 0 x 0 x 1
[WORKER][PID=1831] 0 x 4 x 1
[WORKER][PID=1831] 0 x 3 x 1
[WORKER][PID=1831] 0 x 1 x 1
[WORKER][PID=1831] 1 x 0 x 1
[WORKER][PID=1831] 1 x 1 x 1
[WORKER][PID=1831] 0 x 2 x 2
[WORKER][PID=1831] 0 x 0 x 2
[WORKER][PID=1831] 0 x 4 x 2
[WORKER][PID=1831] 0 x 3 x 2
[WORKER][PID=1831] 0 x 1 x 2
[WORKER][PID=1831] 1 x 0 x 2
[WORKER][PID=1831] 1 x 1 x 2
[WORKER][PID=1831] 0 x 2 x 3
[WORKER][PID=1831] 0 x 0 x 3
[WORKER][PID=1831] 0 x 4 x 3
[WORKER][PID=1831] 0 x 3 x 3
[WORKER][PID=1831] 0 x 1 x 3
[WORKER][PID=1831] 1 x 0 x 3
[WORKER][PID=1831] 1 x 1 x 3
[WORKER][PID=1831] 0 x 2 x 4
[WORKER][PID=1831] 0 x 0 x 4
[WORKER][PID=1831] 0 x 4 x 4
[WORKER][PID=1831] 0 x 3 x 4
[WORKER][PID=1831] 0 x 1 x 4
[WORKER][PID=1831] 1 x 0 x 4
[WORKER][PID=1831] 1 x 1 x 4
[WORKER][PID=1831] 1 x 2 x 0
[WORKER][PID=1831] 1 x 3 x 0
[WORKER][PID=1831] 4 x 4 x 0
[WORKER][PID=1831] 1 x 4 x 0
[WORKER][PID=1831] 2 x 0 x 0
[WORKER][PID=1831] 2 x 1 x 0
[WORKER][PID=1831] 2 x 2 x 0
[WORKER][PID=1831] 1 x 2 x 1
[WORKER][PID=1831] 1 x 3 x 1
[WORKER][PID=1831] 4 x 4 x 1
[WORKER][PID=1831] 1 x 4 x 1
[WORKER][PID=1831] 2 x 0 x 1
[WORKER][PID=1831] 2 x 1 x 1
[WORKER][PID=1831] 2 x 2 x 1
[WORKER][PID=1831] 1 x 2 x 2
[WORKER][PID=1831] 1 x 3 x 2
[WORKER][PID=1831] 4 x 4 x 2
[WORKER][PID=1831] 1 x 4 x 2
[WORKER][PID=1831] 2 x 0 x 2
[WORKER][PID=1831] 2 x 1 x 2
[WORKER][PID=1831] 2 x 2 x 2
[WORKER][PID=1831] 1 x 2 x 3
[WORKER][PID=1831] 1 x 3 x 3
[WORKER][PID=1831] 4 x 4 x 3
[WORKER][PID=1831] 1 x 4 x 3
[WORKER][PID=1831] 2 x 0 x 3
[WORKER][PID=1831] 2 x 1 x 3
[WORKER][PID=1831] 2 x 2 x 3
[WORKER][PID=1831] 1 x 2 x 4
[WORKER][PID=1831] 1 x 3 x 4
[WORKER][PID=1831] 4 x 4 x 4
[WORKER][PID=1831] 1 x 4 x 4
[WORKER][PID=1831] 2 x 0 x 4
[WORKER][PID=1831] 2 x 1 x 4
[WORKER][PID=1831] 2 x 2 x 4
[WORKER][PID=1831] 2 x 3 x 0
[WORKER][PID=1831] 2 x 4 x 0
[WORKER][PID=1831] 4 x 3 x 0
[WORKER][PID=1831] 3 x 0 x 0
[WORKER][PID=1831] 3 x 1 x 0
[WORKER][PID=1831] 3 x 2 x 0
[WORKER][PID=1831] 3 x 3 x 0
[WORKER][PID=1831] 2 x 3 x 1
[WORKER][PID=1831] 2 x 4 x 1
[WORKER][PID=1831] 4 x 3 x 1
[WORKER][PID=1831] 3 x 0 x 1
[WORKER][PID=1831] 3 x 1 x 1
[WORKER][PID=1831] 3 x 2 x 1
[WORKER][PID=1831] 3 x 3 x 1
[WORKER][PID=1831] 2 x 3 x 2
[WORKER][PID=1831] 2 x 4 x 2
[WORKER][PID=1831] 4 x 3 x 2
[WORKER][PID=1831] 3 x 0 x 2
[WORKER][PID=1831] 3 x 1 x 2
[WORKER][PID=1831] 3 x 2 x 2
[WORKER][PID=1831] 3 x 3 x 2
[WORKER][PID=1831] 2 x 3 x 3
[WORKER][PID=1831] 2 x 4 x 3
[WORKER][PID=1831] 4 x 3 x 3
[WORKER][PID=1831] 3 x 0 x 3
[WORKER][PID=1831] 3 x 1 x 3
[WORKER][PID=1831] 3 x 2 x 3
[WORKER][PID=1831] 3 x 3 x 3
[WORKER][PID=1831] 2 x 3 x 4
[WORKER][PID=1831] 2 x 4 x 4
[WORKER][PID=1831] 4 x 3 x 4
[WORKER][PID=1831] 3 x 0 x 4
[WORKER][PID=1831] 3 x 1 x 4
[WORKER][PID=1831] 3 x 2 x 4
[WORKER][PID=1831] 3 x 3 x 4
[WORKER][PID=1831] 3 x 4 x 0
[WORKER][PID=1831] 4 x 0 x 0
[WORKER][PID=1831] 4 x 2 x 0
[WORKER][PID=1831] 4 x 1 x 0
[WORKER][PID=1831] 3 x 4 x 1
[WORKER][PID=1831] 4 x 0 x 1
[WORKER][PID=1831] 4 x 2 x 1
[WORKER][PID=1831] 4 x 1 x 1
[WORKER][PID=1831] 3 x 4 x 2
[WORKER][PID=1831] 4 x 0 x 2
[WORKER][PID=1831] 4 x 2 x 2
[WORKER][PID=1831] 4 x 1 x 2
[WORKER][PID=1831] 3 x 4 x 3
[WORKER][PID=1831] 4 x 0 x 3
[WORKER][PID=1831] 4 x 2 x 3
[WORKER][PID=1831] 4 x 1 x 3
[WORKER][PID=1831] 3 x 4 x 4
[WORKER][PID=1831] 4 x 0 x 4
[WORKER][PID=1831] 4 x 2 x 4
[WORKER][PID=1831] 4 x 1 x 4
Offloaded BlockMatMul Computation done in 15.537926s
Non-Matching Block Outputs: 0
Execution: 8
<< Matrix Multiplication >>
Local MatMul Computation done in 0.018555s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1865] 0 x 2 x 0
[WORKER][PID=1865] 0 x 4 x 0
[WORKER][PID=1865] 0 x 1 x 0
[WORKER][PID=1865] 0 x 3 x 0
[WORKER][PID=1865] 4 x 4 x 0
[WORKER][PID=1865] 1 x 0 x 0
[WORKER][PID=1865] 0 x 0 x 0
[WORKER][PID=1865] 0 x 2 x 1
[WORKER][PID=1865] 0 x 4 x 1
[WORKER][PID=1865] 0 x 1 x 1
[WORKER][PID=1865] 0 x 3 x 1
[WORKER][PID=1865] 4 x 4 x 1
[WORKER][PID=1865] 1 x 0 x 1
[WORKER][PID=1865] 0 x 0 x 1
[WORKER][PID=1865] 0 x 2 x 2
[WORKER][PID=1865] 0 x 4 x 2
[WORKER][PID=1865] 0 x 1 x 2
[WORKER][PID=1865] 0 x 3 x 2
[WORKER][PID=1865] 4 x 4 x 2
[WORKER][PID=1865] 1 x 0 x 2
[WORKER][PID=1865] 0 x 0 x 2
[WORKER][PID=1865] 0 x 2 x 3
[WORKER][PID=1865] 0 x 4 x 3
[WORKER][PID=1865] 0 x 1 x 3
[WORKER][PID=1865] 0 x 3 x 3
[WORKER][PID=1865] 4 x 4 x 3
[WORKER][PID=1865] 1 x 0 x 3
[WORKER][PID=1865] 0 x 0 x 3
[WORKER][PID=1865] 0 x 2 x 4
[WORKER][PID=1865] 0 x 4 x 4
[WORKER][PID=1865] 0 x 1 x 4
[WORKER][PID=1865] 0 x 3 x 4
[WORKER][PID=1865] 4 x 4 x 4
[WORKER][PID=1865] 1 x 0 x 4
[WORKER][PID=1865] 0 x 0 x 4
[WORKER][PID=1865] 1 x 1 x 0
[WORKER][PID=1865] 1 x 2 x 0
[WORKER][PID=1865] 1 x 3 x 0
[WORKER][PID=1865] 1 x 4 x 0
[WORKER][PID=1865] 4 x 3 x 0
[WORKER][PID=1865] 2 x 0 x 0
[WORKER][PID=1865] 2 x 1 x 0
[WORKER][PID=1865] 1 x 1 x 1
[WORKER][PID=1865] 1 x 2 x 1
[WORKER][PID=1865] 1 x 3 x 1
[WORKER][PID=1865] 1 x 4 x 1
[WORKER][PID=1865] 4 x 3 x 1
[WORKER][PID=1865] 2 x 0 x 1
[WORKER][PID=1865] 2 x 1 x 1
[WORKER][PID=1865] 1 x 2 x 2
[WORKER][PID=1865] 1 x 1 x 2
[WORKER][PID=1865] 1 x 3 x 2
[WORKER][PID=1865] 1 x 4 x 2
[WORKER][PID=1865] 4 x 3 x 2
[WORKER][PID=1865] 2 x 0 x 2
[WORKER][PID=1865] 2 x 1 x 2
[WORKER][PID=1865] 1 x 2 x 3
[WORKER][PID=1865] 1 x 1 x 3
[WORKER][PID=1865] 1 x 3 x 3
[WORKER][PID=1865] 1 x 4 x 3
[WORKER][PID=1865] 4 x 3 x 3
[WORKER][PID=1865] 2 x 0 x 3
[WORKER][PID=1865] 2 x 1 x 3
[WORKER][PID=1865] 1 x 2 x 4
[WORKER][PID=1865] 1 x 1 x 4
[WORKER][PID=1865] 1 x 3 x 4
[WORKER][PID=1865] 1 x 4 x 4
[WORKER][PID=1865] 4 x 3 x 4
[WORKER][PID=1865] 2 x 0 x 4
[WORKER][PID=1865] 2 x 1 x 4
[WORKER][PID=1865] 2 x 2 x 0
[WORKER][PID=1865] 2 x 3 x 0
[WORKER][PID=1865] 2 x 4 x 0
[WORKER][PID=1865] 3 x 0 x 0
[WORKER][PID=1865] 4 x 2 x 0
[WORKER][PID=1865] 3 x 2 x 0
[WORKER][PID=1865] 3 x 1 x 0
[WORKER][PID=1865] 2 x 2 x 1
[WORKER][PID=1865] 2 x 3 x 1
[WORKER][PID=1865] 2 x 4 x 1
[WORKER][PID=1865] 3 x 0 x 1
[WORKER][PID=1865] 4 x 2 x 1
[WORKER][PID=1865] 3 x 2 x 1
[WORKER][PID=1865] 3 x 1 x 1
[WORKER][PID=1865] 2 x 2 x 2
[WORKER][PID=1865] 2 x 3 x 2
[WORKER][PID=1865] 2 x 4 x 2
[WORKER][PID=1865] 3 x 0 x 2
[WORKER][PID=1865] 4 x 2 x 2
[WORKER][PID=1865] 3 x 2 x 2
[WORKER][PID=1865] 3 x 1 x 2
[WORKER][PID=1865] 2 x 2 x 3
[WORKER][PID=1865] 2 x 3 x 3
[WORKER][PID=1865] 2 x 4 x 3
[WORKER][PID=1865] 3 x 0 x 3
[WORKER][PID=1865] 4 x 2 x 3
[WORKER][PID=1865] 3 x 2 x 3
[WORKER][PID=1865] 3 x 1 x 3
[WORKER][PID=1865] 2 x 2 x 4
[WORKER][PID=1865] 2 x 3 x 4
[WORKER][PID=1865] 2 x 4 x 4
[WORKER][PID=1865] 3 x 0 x 4
[WORKER][PID=1865] 4 x 2 x 4
[WORKER][PID=1865] 3 x 2 x 4
[WORKER][PID=1865] 3 x 1 x 4
[WORKER][PID=1865] 3 x 3 x 0
[WORKER][PID=1865] 3 x 4 x 0
[WORKER][PID=1865] 4 x 0 x 0
[WORKER][PID=1865] 4 x 1 x 0
[WORKER][PID=1865] 3 x 3 x 1
[WORKER][PID=1865] 3 x 4 x 1
[WORKER][PID=1865] 4 x 0 x 1
[WORKER][PID=1865] 4 x 1 x 1
[WORKER][PID=1865] 3 x 3 x 2
[WORKER][PID=1865] 3 x 4 x 2
[WORKER][PID=1865] 4 x 0 x 2
[WORKER][PID=1865] 4 x 1 x 2
[WORKER][PID=1865] 3 x 3 x 3
[WORKER][PID=1865] 3 x 4 x 3
[WORKER][PID=1865] 4 x 0 x 3
[WORKER][PID=1865] 4 x 1 x 3
[WORKER][PID=1865] 3 x 3 x 4
[WORKER][PID=1865] 3 x 4 x 4
[WORKER][PID=1865] 4 x 0 x 4
[WORKER][PID=1865] 4 x 1 x 4
Offloaded BlockMatMul Computation done in 12.372501s
Non-Matching Block Outputs: 0
Execution: 9
<< Matrix Multiplication >>
Local MatMul Computation done in 0.011050s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1899] 4 x 4 x 0
[WORKER][PID=1899] 0 x 1 x 0
[WORKER][PID=1899] 0 x 2 x 0
[WORKER][PID=1899] 0 x 4 x 0
[WORKER][PID=1899] 0 x 3 x 0
[WORKER][PID=1899] 0 x 0 x 0
[WORKER][PID=1899] 1 x 0 x 0
[WORKER][PID=1899] 4 x 4 x 1
[WORKER][PID=1899] 0 x 1 x 1
[WORKER][PID=1899] 0 x 2 x 1
[WORKER][PID=1899] 0 x 4 x 1
[WORKER][PID=1899] 0 x 3 x 1
[WORKER][PID=1899] 0 x 0 x 1
[WORKER][PID=1899] 1 x 0 x 1
[WORKER][PID=1899] 4 x 4 x 2
[WORKER][PID=1899] 0 x 1 x 2
[WORKER][PID=1899] 0 x 2 x 2
[WORKER][PID=1899] 0 x 4 x 2
[WORKER][PID=1899] 0 x 3 x 2
[WORKER][PID=1899] 0 x 0 x 2
[WORKER][PID=1899] 1 x 0 x 2
[WORKER][PID=1899] 4 x 4 x 3
[WORKER][PID=1899] 0 x 1 x 3
[WORKER][PID=1899] 0 x 2 x 3
[WORKER][PID=1899] 0 x 4 x 3
[WORKER][PID=1899] 0 x 3 x 3
[WORKER][PID=1899] 0 x 0 x 3
[WORKER][PID=1899] 1 x 0 x 3
[WORKER][PID=1899] 4 x 4 x 4
[WORKER][PID=1899] 0 x 1 x 4
[WORKER][PID=1899] 0 x 2 x 4
[WORKER][PID=1899] 0 x 4 x 4
[WORKER][PID=1899] 0 x 3 x 4
[WORKER][PID=1899] 0 x 0 x 4
[WORKER][PID=1899] 1 x 0 x 4
[WORKER][PID=1899] 4 x 3 x 0
[WORKER][PID=1899] 1 x 1 x 0
[WORKER][PID=1899] 1 x 2 x 0
[WORKER][PID=1899] 1 x 3 x 0
[WORKER][PID=1899] 1 x 4 x 0
[WORKER][PID=1899] 2 x 0 x 0
[WORKER][PID=1899] 2 x 1 x 0
[WORKER][PID=1899] 4 x 3 x 1
[WORKER][PID=1899] 1 x 1 x 1
[WORKER][PID=1899] 1 x 2 x 1
[WORKER][PID=1899] 1 x 3 x 1
[WORKER][PID=1899] 1 x 4 x 1
[WORKER][PID=1899] 2 x 0 x 1
[WORKER][PID=1899] 2 x 1 x 1
[WORKER][PID=1899] 4 x 3 x 2
[WORKER][PID=1899] 1 x 1 x 2
[WORKER][PID=1899] 1 x 2 x 2
[WORKER][PID=1899] 1 x 3 x 2
[WORKER][PID=1899] 2 x 0 x 2
[WORKER][PID=1899] 1 x 4 x 2
[WORKER][PID=1899] 2 x 1 x 2
[WORKER][PID=1899] 4 x 3 x 3
[WORKER][PID=1899] 1 x 1 x 3
[WORKER][PID=1899] 1 x 2 x 3
[WORKER][PID=1899] 1 x 3 x 3
[WORKER][PID=1899] 2 x 0 x 3
[WORKER][PID=1899] 1 x 4 x 3
[WORKER][PID=1899] 2 x 1 x 3
[WORKER][PID=1899] 4 x 3 x 4
[WORKER][PID=1899] 1 x 1 x 4
[WORKER][PID=1899] 1 x 2 x 4
[WORKER][PID=1899] 1 x 3 x 4
[WORKER][PID=1899] 2 x 0 x 4
[WORKER][PID=1899] 1 x 4 x 4
[WORKER][PID=1899] 2 x 1 x 4
[WORKER][PID=1899] 4 x 2 x 0
[WORKER][PID=1899] 2 x 2 x 0
[WORKER][PID=1899] 2 x 3 x 0
[WORKER][PID=1899] 2 x 4 x 0
[WORKER][PID=1899] 3 x 0 x 0
[WORKER][PID=1899] 3 x 1 x 0
[WORKER][PID=1899] 3 x 2 x 0
[WORKER][PID=1899] 4 x 2 x 1
[WORKER][PID=1899] 2 x 2 x 1
[WORKER][PID=1899] 2 x 3 x 1
[WORKER][PID=1899] 2 x 4 x 1
[WORKER][PID=1899] 3 x 0 x 1
[WORKER][PID=1899] 3 x 1 x 1
[WORKER][PID=1899] 3 x 2 x 1
[WORKER][PID=1899] 4 x 2 x 2
[WORKER][PID=1899] 2 x 2 x 2
[WORKER][PID=1899] 2 x 3 x 2
[WORKER][PID=1899] 2 x 4 x 2
[WORKER][PID=1899] 3 x 0 x 2
[WORKER][PID=1899] 3 x 1 x 2
[WORKER][PID=1899] 3 x 2 x 2
[WORKER][PID=1899] 4 x 2 x 3
[WORKER][PID=1899] 2 x 2 x 3
[WORKER][PID=1899] 2 x 3 x 3
[WORKER][PID=1899] 2 x 4 x 3
[WORKER][PID=1899] 3 x 0 x 3
[WORKER][PID=1899] 3 x 1 x 3
[WORKER][PID=1899] 3 x 2 x 3
[WORKER][PID=1899] 4 x 2 x 4
[WORKER][PID=1899] 2 x 2 x 4
[WORKER][PID=1899] 2 x 3 x 4
[WORKER][PID=1899] 2 x 4 x 4
[WORKER][PID=1899] 3 x 0 x 4
[WORKER][PID=1899] 3 x 1 x 4
[WORKER][PID=1899] 3 x 2 x 4
[WORKER][PID=1899] 4 x 1 x 0
[WORKER][PID=1899] 3 x 3 x 0
[WORKER][PID=1899] 3 x 4 x 0
[WORKER][PID=1899] 4 x 0 x 0
[WORKER][PID=1899] 4 x 1 x 1
[WORKER][PID=1899] 3 x 3 x 1
[WORKER][PID=1899] 3 x 4 x 1
[WORKER][PID=1899] 4 x 0 x 1
[WORKER][PID=1899] 4 x 1 x 2
[WORKER][PID=1899] 3 x 3 x 2
[WORKER][PID=1899] 3 x 4 x 2
[WORKER][PID=1899] 4 x 0 x 2
[WORKER][PID=1899] 4 x 1 x 3
[WORKER][PID=1899] 3 x 3 x 3
[WORKER][PID=1899] 3 x 4 x 3
[WORKER][PID=1899] 4 x 0 x 3
[WORKER][PID=1899] 4 x 1 x 4
[WORKER][PID=1899] 3 x 3 x 4
[WORKER][PID=1899] 3 x 4 x 4
[WORKER][PID=1899] 4 x 0 x 4
Offloaded BlockMatMul Computation done in 15.181353s
Non-Matching Block Outputs: 0
Execution: 10
<< Matrix Multiplication >>
Local MatMul Computation done in 0.001593s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1933] 0 x 1 x 0
[WORKER][PID=1933] 0 x 4 x 0
[WORKER][PID=1933] 4 x 4 x 0
[WORKER][PID=1933] 0 x 2 x 0
[WORKER][PID=1933] 0 x 0 x 0
[WORKER][PID=1933] 1 x 0 x 0
[WORKER][PID=1933] 0 x 3 x 0
[WORKER][PID=1933] 0 x 1 x 1
[WORKER][PID=1933] 0 x 4 x 1
[WORKER][PID=1933] 4 x 4 x 1
[WORKER][PID=1933] 0 x 2 x 1
[WORKER][PID=1933] 0 x 0 x 1
[WORKER][PID=1933] 1 x 0 x 1
[WORKER][PID=1933] 0 x 3 x 1
[WORKER][PID=1933] 0 x 1 x 2
[WORKER][PID=1933] 0 x 4 x 2
[WORKER][PID=1933] 4 x 4 x 2
[WORKER][PID=1933] 0 x 2 x 2
[WORKER][PID=1933] 0 x 0 x 2
[WORKER][PID=1933] 1 x 0 x 2
[WORKER][PID=1933] 0 x 3 x 2
[WORKER][PID=1933] 0 x 1 x 3
[WORKER][PID=1933] 0 x 4 x 3
[WORKER][PID=1933] 0 x 2 x 3
[WORKER][PID=1933] 4 x 4 x 3
[WORKER][PID=1933] 0 x 0 x 3
[WORKER][PID=1933] 1 x 0 x 3
